cod,date,confirmed,deaths,recovered
82663,2021-2-19,35543,1420,31821
82663,2021-2-20,35543,1420,31821
82663,2021-2-21,35543,1420,31821
82663,2021-2-22,35543,1420,31821
82663,2021-2-23,35543,1420,31821
82663,2021-2-24,35543,1420,31821
82663,2021-2-25,35543,1420,31821
82663,2021-2-26,35543,1420,31821
82663,2021-2-27,35543,1420,31821
82663,2021-2-28,35543,1420,31821
